generation,max_fitness,mean_fitness,min_fitness
0,91.92482618476618,3.4472879595401142,-6.4425401664681985
1,91.92482618476618,3.490964453959458,-6.4425401664681985
2,91.92482618476618,3.579152614402078,-6.4425401664681985
3,91.92482618476618,4.1859758847460915,-6.431331081933479
4,91.92482618476618,4.185353522593851,-6.431331081933479
5,91.92482618476618,4.185353522593851,-6.431331081933479
6,91.92482618476618,4.185353522593851,-6.431331081933479
7,91.92482618476618,4.185353522593851,-6.431331081933479
8,91.92482618476618,4.185353522593851,-6.431331081933479
9,91.92482618476618,4.185353522593851,-6.431331081933479
10,91.92482618476618,4.185353522593851,-6.431331081933479
11,91.92482618476618,4.185353522593851,-6.431331081933479
12,91.92482618476618,4.185353522593851,-6.431331081933479
13,91.92482618476618,4.185353522593851,-6.431331081933479
14,91.92482618476618,4.185353522593851,-6.431331081933479
15,91.92482618476618,4.185353522593851,-6.431331081933479
16,91.92482618476618,4.698392878389552,-6.431331081933479
17,91.92482618476618,26.24698961923139,-5.908082938168931
18,91.92482618476618,35.773669123617054,-5.908082938168931
19,92.93740496697303,50.41318585132877,-6.395261598115449
20,92.93740496697303,48.30222616906822,-6.418364935936212
21,92.93740496697303,48.57920060195962,-5.796057750765372
22,92.93740496697303,47.981912820217055,-6.169610732491456
23,92.93740496697303,44.17340936324766,-6.411818267709897
24,92.93740496697303,38.72570382787134,-6.400257445308821
25,92.93740496697303,44.452465536617204,-6.163314804034641
26,92.93740496697303,46.59712768591514,-5.8998973535824915
27,92.93740496697303,49.81039991544318,-6.406879986069314
28,92.93740496697303,41.94652190284884,-6.300785794663244
29,93.20278772623588,38.59530377052281,-6.405228458030842
30,93.20278772623588,47.74477946962773,-6.396929655216146
31,93.20278772623588,34.48981201085226,-6.432940092739179
32,93.2070431491098,42.63897690366892,-5.924255797414532
33,93.2070431491098,41.65280388846103,-6.418364935936212
34,93.2070431491098,54.30125455658016,-5.902633333401366
35,93.2070431491098,40.7597233978543,-6.300785794663244
36,93.2070431491098,32.01234207506334,-6.398594934535208
37,93.40956741322127,43.563466199558846,-6.163314804034641
38,93.40956741322127,47.58252355056968,-6.419994928147142
39,93.40956741322127,53.3735634873096,-6.391917113392602
40,93.40956741322127,47.59670995521603,-6.403574197934815
41,93.40956741322127,55.1830566469409,-5.796057750765372
42,93.40956741322127,43.49289573301809,-6.437751649736401
43,93.40956741322127,44.17485598403288,-6.401917196727186
44,93.40956741322127,42.269260112440264,-6.003887067106539
45,93.40956741322127,46.14598499103643,-5.796057750765372
46,93.40956741322127,42.778191203692025,-6.561030665896573
47,93.40956741322127,55.57899846263044,-5.796057750765372
48,93.40956741322127,63.81022966514991,-6.419994928147142
49,93.40956741322127,50.47878539474546,-6.431331081933479
