generation,max_fitness,mean_fitness,min_fitness
0,87.42951600496184,-0.8460902050768594,-5.840641657373398
1,88.08188000615579,-0.26968596346254914,-6.434546518787453
2,88.08188000615579,-0.2696859634625489,-6.434546518787453
3,88.08188000615579,-0.2696859634625489,-6.434546518787453
4,88.08188000615579,-0.2696859634625489,-6.434546518787453
5,88.08188000615579,-0.2696859634625489,-6.434546518787453
6,88.08188000615579,-0.2696859634625489,-6.434546518787453
7,88.08188000615579,-0.2696859634625489,-6.434546518787453
8,88.08188000615579,-0.2696859634625489,-6.434546518787453
9,88.08188000615579,-0.2696859634625489,-6.434546518787453
10,88.08188000615579,-0.2696859634625489,-6.434546518787453
11,88.08188000615579,-0.2696859634625489,-6.434546518787453
12,88.08188000615579,-0.2696859634625489,-6.434546518787453
13,88.08188000615579,-0.2696859634625489,-6.434546518787453
14,88.08188000615579,-0.2696859634625489,-6.434546518787453
15,88.08188000615579,-0.2696859634625489,-6.434546518787453
16,88.08188000615579,4.830388058270374,-6.434546518787453
17,92.41261419415923,37.24450776959271,-6.186208623900494
18,92.82951600496185,37.702125091996805,-6.432940092739179
19,92.82951600496185,57.29781190000859,-6.306275286948016
20,93.33616819497439,41.8143192147831,-6.163314804034641
21,93.33616819497439,43.42745947800306,-6.405228458030842
22,93.33616819497439,38.04982150918765,-6.003887067106539
23,93.33616819497439,42.83312575794529,-6.432940092739179
24,93.33616819497439,44.771020294545636,-6.423246963533519
25,93.33616819497439,51.99557891160755,-6.013715156042802
26,93.33616819497439,44.160160385976084,-6.432940092739179
27,93.33616819497439,56.502979205155725,-6.405228458030842
28,93.33616819497439,53.451957413056476,-6.396929655216146
29,93.33616819497439,46.342413332940325,-6.405228458030842
30,93.33616819497439,47.184305581387534,-5.805134968916488
31,93.33616819497439,53.498721109040254,-6.405228458030842
32,93.33616819497439,63.74325332817975,-6.016157159698354
33,93.33616819497439,66.9569444792753,-5.796057750765372
34,93.33616819497439,50.85241458564846,-5.834810737062605
35,93.33616819497439,61.52237414796387,-5.796057750765372
36,93.33616819497439,52.28309127006721,-5.796057750765372
37,93.33616819497439,50.29844904601996,-6.415096959171596
38,93.33616819497439,60.72948580743904,-5.796057750765372
39,93.33616819497439,61.50107726165078,-5.8944028342648505
40,93.68200618758324,63.497763126232634,-5.796057750765372
41,93.68200618758324,59.57512753501777,-6.415096959171596
42,93.68200618758324,58.31854528850732,-6.434546518787453
43,93.68200618758324,68.11550365108697,-5.796057750765372
44,93.68200618758324,54.765863368718556,-6.434546518787453
45,93.68200618758324,56.27535421039093,-5.908082938168931
46,93.68200618758324,65.71092294805628,-6.42648845745769
47,93.68200618758324,56.42574821364397,-5.834810737062605
48,93.68200618758324,56.45008348975112,-6.434546518787453
49,93.68200618758324,53.76970100095838,-6.400257445308821
